Občina,Površina km2,Št. naselij,Št. prebivalcev,Moški,Ženske,0-14 let,15-64 let,65+ let,Naravni prirastek,Povprečna bruto plača,Delovno aktivno prebivalstvo,Registrirane brezposelne osebe,Število OŠ,Število osnovnošolcev,Število dijakov,Število študentov,Ustanovitev,Pokrajina,Statistična regija
Vipava,107.4,20,5600,2779,2821,900,3617,1083,-5,1380.34,2094,279,5,502,241,279,1994,Primorska,Goriška
Vitanje,59.4,8,2271,1184,1087,372,1522,377,5,1276.97,999,93,1,205,108,75,1994,Štajerska,Savinjska
Vodice,31.4,16,4811,2399,2412,901,3205,705,19,1290.48,2101,173,2,513,227,244,1994,Gorenjska,Osrednjeslovenska
Vojnik,75.3,56,8741,4310,4431,1378,5679,1684,-23,1314.9,3440,424,4,810,381,392,1994,Štajerska,Savinjska
Vransko,53.3,16,2603,1289,1314,399,1703,501,-16,1327.25,982,130,1,245,134,116,1998,Štajerska,Savinjska
Vrhnika,115.6,25,16799,8320,8479,2860,11096,2843,52,1366.48,6890,926,5,1546,617,664,1991,Notranjska,Osrednjeslovenska
Vuzenica,50.1,5,2669,1346,1323,382,1840,447,5,1261.48,1074,149,1,245,120,91,1994,Koroška,Koroška
Zagorje ob Savi,147.1,78,16655,8213,8442,2486,11009,3160,-14,1312.68,6629,998,9,1420,636,650,1991,Gorenjska,Zasavska
Zavrč,19.3,9,1778,1092,686,199,1367,212,-7,1110.27,575,83,1,111,55,50,1994,Štajerska,Podravska
Zreče,67,27,6424,3258,3166,990,4440,994,21,1431.73,2827,327,3,558,301,273,1994,Štajerska,Savinjska
Žalec,117.1,39,21269,10590,10679,3192,14063,4014,64,1366.59,8181,1357,10,1922,768,785,1991,Štajerska,Savinjska
Železniki,163.7,29,6689,3436,3253,1160,4413,1116,30,1430.53,2960,168,5,704,334,305,1994,Gorenjska,Gorenjska
Žetale,38,5,1289,669,620,160,919,210,-5,1364.07,594,52,1,85,52,45,1998,Štajerska,Podravska
Žiri,49.2,18,4847,2406,2441,838,3136,873,31,1384.73,2138,104,1,530,188,238,1994,Gorenjska,Gorenjska
Žirovnica,42.6,10,4360,2172,2188,645,2809,906,9,1468.56,1755,143,1,373,176,178,1998,Gorenjska,Gorenjska
Žužemberk,164.3,51,4587,2315,2272,753,3107,727,16,1318.19,2046,172,5,413,202,236,1998,Dolenjska,Jugovzhodna
